date_time,deg_C,relative_humidity,absolute_humidity,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,target_carbon_monoxide,target_benzene,target_nitrogen_oxides,year,month,day,apply_step3
2010-03-10 20:00:00,12.6,56.2,0.7502,1331.9,929.6,1060.2,1586.1,1117.0,2.2,9.2,127.1,2010,3,10,1473070.4823880598
2010-03-10 21:00:00,11.0,62.4,0.7867,1321.0,929.0,1102.9,1536.5,1263.2,2.2,9.7,177.2,2010,3,10,1426040.4223880598
2010-03-10 22:00:00,11.9,59.0,0.7888,1272.0,852.7,1180.9,1415.5,1132.2,1.5,6.4,121.8,2010,3,10,1205628.7723880599
2010-03-10 23:00:00,11.2,56.8,0.7848,1220.9,697.5,1417.2,1462.6,949.0,1.2,4.4,88.1,2010,3,10,1018795.4223880596
2010-03-11 00:00:00,10.7,55.7,0.7603,1244.2,669.3,1491.2,1413.0,769.6,1.2,3.7,59.5,2010,3,11,944352.8223880596
2010-03-11 01:00:00,10.3,57.0,0.7702,1181.4,631.7,1511.1,1359.7,715.4,1.0,3.4,63.9,2010,3,11,857554.4123880598
2010-03-11 02:00:00,10.1,62.7,0.7648,1159.6,602.9,1610.6,1212.2,657.2,0.9,2.2,46.4,2010,3,11,971030.7399999999
2010-03-11 03:00:00,10.5,59.6,0.7517,1030.2,521.7,1790.2,1148.6,491.0,0.6,1.6,43.0,2010,3,11,933947.3400000001
2010-03-11 04:00:00,9.4,59.9,0.7465,960.4,490.1,1781.6,1244.9,431.6,0.7,1.4,21.0,2010,3,11,873162.16
2010-03-11 05:00:00,11.4,58.4,0.7366,1119.3,522.2,1898.8,1122.9,443.1,0.7,1.0,16.3,2010,3,11,991553.3600000001
2010-03-11 06:00:00,10.3,56.4,0.7353,1009.9,553.0,1755.4,1208.8,495.6,0.7,1.7,32.6,2010,3,11,970736.2000000001
2010-03-11 07:00:00,10.0,58.4,0.7417,1201.2,640.3,1475.1,1339.0,686.2,1.1,3.2,100.9,2010,3,11,944506.5299999999
2010-03-11 08:00:00,10.7,55.1,0.7408,1373.0,927.0,1181.4,1471.5,1046.9,1.9,8.3,167.0,2010,3,11,1362712.4223880598
2010-03-11 09:00:00,11.0,62.4,0.7691,1378.0,969.6,1122.2,1583.0,1069.1,2.1,9.3,126.4,2010,3,11,1533508.7223880598
2010-03-11 10:00:00,10.9,61.9,0.7552,1196.0,793.9,1230.2,1431.5,799.8,1.7,6.6,104.2,2010,3,11,1135099.7723880596
2010-03-11 11:00:00,11.1,56.7,0.7352,1155.4,769.6,1354.6,1266.7,664.3,1.6,5.1,96.9,2010,3,11,1042500.1599999999
2010-03-11 12:00:00,9.4,62.1,0.7951,1174.2,727.6,1379.1,1429.0,644.1,1.6,5.4,106.1,2010,3,11,1038372.3223880597
2010-03-11 13:00:00,8.2,77.9,0.8393,1311.7,895.1,1220.1,1629.2,846.9,2.0,7.4,146.0,2010,3,11,1456928.84238806
2010-03-11 14:00:00,8.5,84.3,0.8736,1357.3,1013.3,963.3,1712.7,1099.2,2.8,12.0,204.9,2010,3,11,1734110.8323880597
2010-03-11 15:00:00,7.7,74.2,0.8778,1310.0,905.0,1103.6,1630.5,917.6,2.2,9.1,182.2,2010,3,11,1474234.4223880598
2010-03-11 16:00:00,9.5,73.3,0.8569,1227.4,857.3,1080.9,1622.8,976.1,2.3,8.1,194.9,2010,3,11,1389858.3623880597
2010-03-11 17:00:00,9.5,62.9,0.8185,1424.5,999.6,937.4,1684.6,1037.8,2.8,11.4,257.6,2010,3,11,1682558.0823880597
2010-03-11 18:00:00,10.4,67.4,0.8065,1501.9,1266.2,743.1,1937.2,1366.7,4.7,21.6,275.4,2010,3,11,2451514.5623880597
2010-03-11 19:00:00,9.5,69.3,0.8319,1776.0,1398.7,723.1,2239.7,1584.7,7.2,28.2,406.0,2010,3,11,3131300.312388059
2010-03-11 20:00:00,10.1,63.7,0.8133,1607.2,1390.0,735.6,2103.4,1538.2,6.1,25.2,337.0,2010,3,11,2922357.9223880596
2010-03-11 21:00:00,8.6,67.8,0.7419,1378.6,1033.0,890.0,1809.4,1220.8,3.9,13.6,242.4,2010,3,11,1867742.12238806
2010-03-11 22:00:00,7.8,62.8,0.6905,994.0,704.1,1364.8,1319.7,812.8,1.5,4.7,87.4,2010,3,11,960955.68
2010-03-11 23:00:00,8.7,58.4,0.6657,931.3,660.4,1486.8,1239.5,585.1,1.1,2.5,45.6,2010,3,11,981882.72
2010-03-12 00:00:00,8.8,56.7,0.6438,1026.0,772.8,1329.2,1333.8,791.5,1.7,5.7,119.6,2010,3,12,1027205.76
2010-03-12 01:00:00,7.8,59.1,0.6308,991.8,829.0,1321.8,1309.1,873.6,1.8,6.1,123.7,2010,3,12,1095772.2
2010-03-12 02:00:00,6.6,59.9,0.6276,918.8,753.9,1423.9,1212.7,726.6,1.4,3.8,80.4,2010,3,12,1073478.21
2010-03-12 03:00:00,6.9,66.0,0.6261,835.7,574.0,1646.4,1258.2,491.5,0.8,2.0,48.4,2010,3,12,945033.6000000001
2010-03-12 04:00:00,5.7,69.9,0.6248,822.7,475.6,1855.1,1088.6,403.2,0.5,1.1,20.4,2010,3,12,882285.56
2010-03-12 05:00:00,6.1,64.4,0.6233,889.4,531.1,1914.0,1143.4,378.2,0.6,1.0,28.5,2010,3,12,1016525.4
2010-03-12 06:00:00,6.6,64.8,0.6234,908.5,605.3,1769.2,1284.2,477.3,0.8,1.9,59.4,2010,3,12,1070896.76
2010-03-12 07:00:00,6.3,62.5,0.6316,1058.3,766.5,1456.4,1401.8,695.6,1.5,4.7,109.0,2010,3,12,1073111.6223880597
2010-03-12 08:00:00,7.4,63.1,0.6499,1682.2,1186.6,923.9,1995.0,1400.0,4.6,16.6,297.8,2010,3,12,2365898.9223880596
2010-03-12 09:00:00,8.8,52.3,0.6561,1452.3,1434.2,774.7,2119.7,1603.9,4.3,23.4,265.8,2010,3,12,3038705.6623880593
2010-03-12 20:00:00,12.5,51.0,0.7478,1953.6,1690.5,642.7,2270.5,1792.6,6.8,34.6,357.0,2010,3,12,3836912.1723880596
2010-03-12 21:00:00,12.0,53.8,0.7536,1566.0,1286.0,759.5,1882.8,1545.6,4.4,20.1,287.7,2010,3,12,2419912.7223880594
2010-03-12 22:00:00,11.4,60.3,0.774,1498.8,1070.6,830.6,1671.3,1535.7,3.6,14.3,265.7,2010,3,12,1787925.7023880596
2010-03-12 23:00:00,9.2,61.4,0.7771,1693.8,1346.0,696.5,1979.5,1640.4,5.7,22.0,294.0,2010,3,12,2663038.9223880596
2010-03-13 00:00:00,9.2,60.9,0.7597,1241.6,896.5,895.6,1544.0,1246.4,2.9,9.0,196.9,2010,3,13,1382827.9223880598
2010-03-13 01:00:00,8.8,65.8,0.7423,1243.8,899.2,1135.3,1375.2,1155.4,1.9,7.0,143.2,2010,3,13,1235211.7623880599
2010-03-13 02:00:00,9.3,62.6,0.7256,1195.8,828.9,1164.2,1310.4,1095.2,1.5,5.1,86.3,2010,3,13,965005.38
2010-03-13 03:00:00,8.2,62.8,0.7173,1113.4,728.2,1167.2,1297.2,1015.9,1.8,5.7,110.1,2010,3,13,849955.04
2010-03-13 04:00:00,7.0,71.1,0.7158,1112.6,796.4,1188.6,1313.2,1021.8,1.6,6.4,111.2,2010,3,13,946601.0399999999
2010-03-13 05:00:00,7.9,59.8,0.6982,948.7,612.5,1405.8,1210.3,810.8,1.0,2.7,58.9,2010,3,13,861052.5
2010-03-13 06:00:00,7.3,68.2,0.6887,1111.0,678.3,1434.1,1344.1,809.9,1.3,3.0,54.1,2010,3,13,910334.9523880596
2010-03-13 07:00:00,6.2,68.3,0.6932,1100.9,731.5,1240.3,1338.6,902.4,1.5,4.9,132.0,2010,3,13,907279.45
2010-03-13 08:00:00,6.6,67.3,0.6945,1322.6,1095.2,935.0,1711.6,1144.3,2.6,11.2,245.8,2010,3,13,1873176.2423880599
2010-03-13 09:00:00,9.7,62.7,0.7124,1393.9,1199.1,788.5,1688.2,1439.2,3.7,14.9,300.9,2010,3,13,2022952.5423880597
2010-03-13 10:00:00,12.3,51.7,0.7335,1360.2,1135.0,825.6,1683.7,1421.0,3.3,12.0,257.5,2010,3,13,1909631.4223880598
2010-03-14 00:00:00,13.8,54.7,0.8498,1488.0,1033.3,933.4,1498.2,1442.9,2.8,11.2,186.2,2010,3,14,1546721.9823880598
2010-03-14 02:00:00,13.0,56.5,0.8537,1285.0,943.5,1010.2,1527.6,1403.9,2.6,8.8,128.0,2010,3,14,1439922.5223880596
2010-03-14 03:00:00,11.0,64.7,0.8674,1290.2,987.4,948.6,1555.2,1239.7,2.3,10.2,135.3,2010,3,14,1534236.4023880598
2010-03-14 04:00:00,11.9,64.8,0.8603,1163.9,788.5,1175.2,1364.9,1061.5,1.3,5.0,67.9,2010,3,14,1074855.57238806
2010-03-14 05:00:00,11.8,66.9,0.8533,1008.9,691.0,1233.8,1321.9,919.7,1.2,3.8,50.9,2010,3,14,852555.7999999999
2010-03-14 06:00:00,10.9,59.1,0.8473,1086.8,605.6,1464.8,1293.0,819.7,1.0,2.6,42.7,2010,3,14,887082.88
2010-03-14 07:00:00,10.0,66.2,0.853,1017.7,584.2,1356.3,1407.0,861.5,0.9,2.3,74.0,2010,3,14,820601.3223880597
2010-03-14 08:00:00,12.2,66.5,0.853,1085.7,707.6,1188.2,1315.0,1007.0,1.4,4.2,97.0,2010,3,14,840770.3200000001
2010-03-14 09:00:00,12.8,58.2,0.8627,1185.6,877.7,1086.6,1435.4,1158.6,1.5,6.1,109.7,2010,3,14,1258482.5023880599
2010-03-14 10:00:00,14.5,53.1,0.8728,1318.7,932.2,971.0,1581.7,1139.2,2.3,8.7,142.6,2010,3,14,1473092.66238806
2010-03-14 22:00:00,15.5,53.0,0.9341,1257.8,958.8,887.0,1539.4,1423.0,2.0,8.8,153.3,2010,3,14,1474608.6423880598
2010-03-14 23:00:00,15.4,58.7,0.9314,1416.4,942.3,895.7,1600.8,1308.5,2.3,8.8,144.4,2010,3,14,1507065.7623880596
2010-03-15 00:00:00,13.9,54.7,0.9164,1226.6,837.1,1024.4,1639.8,1200.0,1.7,6.9,107.1,2010,3,15,1371308.5023880599
2010-03-15 01:00:00,13.4,53.0,0.9094,1239.0,861.5,959.5,1496.7,1162.3,1.8,6.5,98.6,2010,3,15,1288038.9723880598
2010-03-15 02:00:00,12.5,62.5,0.9361,1285.2,863.6,1008.0,1581.7,1114.5,1.8,7.4,113.4,2010,3,15,1364588.04238806
2010-03-15 03:00:00,12.3,62.9,0.923,1024.1,770.7,1161.8,1442.4,1021.0,1.2,4.4,71.7,2010,3,15,1110289.60238806
2010-03-15 04:00:00,12.3,63.4,0.9351,1034.9,668.3,1207.5,1468.0,1013.0,1.0,4.0,62.0,2010,3,15,979696.3223880596
2010-03-15 05:00:00,12.6,64.0,0.9375,1128.8,653.8,1213.8,1420.1,979.7,1.0,3.9,88.9,2010,3,15,927093.3023880596
2010-03-15 06:00:00,11.3,69.1,0.9475,1180.1,780.2,1081.5,1568.2,1104.7,1.4,6.5,140.8,2010,3,15,1222141.56238806
2010-03-15 07:00:00,12.0,67.4,0.9401,1248.3,1014.3,923.9,1761.3,1247.4,2.1,9.6,221.2,2010,3,15,1785118.5123880596
2010-03-15 08:00:00,12.0,61.3,0.917,1743.1,1523.6,678.1,2276.5,1579.2,5.4,26.7,345.6,2010,3,15,3467107.3223880595
2010-03-15 09:00:00,14.7,54.3,0.9076,1882.6,1615.9,547.7,2638.4,2227.7,7.8,37.4,506.7,2010,3,15,4262022.482388061
2010-03-15 20:00:00,18.3,53.1,1.0945,1800.2,1573.0,576.3,2491.9,2091.6,6.8,29.4,316.8,2010,3,15,3918390.6223880597
2010-03-15 21:00:00,17.4,55.7,1.0786,1595.0,1371.6,705.1,2058.0,1758.2,4.4,20.9,248.3,2010,3,15,2821384.7223880594
2010-03-15 22:00:00,15.2,59.0,1.0654,1467.8,1182.2,786.9,1818.9,1508.9,3.0,14.5,200.7,2010,3,15,2148935.5023880596
