year,month,day,mean,median,min,max,count
2010,3,10,12.166666666666666,12.25,11.0,13.2,6
2010,3,11,9.762500000000001,10.05,7.7,11.4,24
2010,3,12,11.133333333333333,11.7,5.7,16.2,24
2010,3,13,12.779166666666667,14.399999999999999,6.2,19.0,24
2010,3,14,15.799999999999999,15.45,10.0,22.7,24
2010,3,15,17.345833333333335,16.799999999999997,11.3,25.9,24
2010,3,16,18.720833333333335,18.200000000000003,10.7,29.9,24
2010,3,17,18.720833333333335,16.75,10.4,28.1,24
2010,3,18,17.758333333333333,15.600000000000001,10.6,28.1,24
2010,3,19,14.095833333333333,14.35,11.2,16.8,24
2010,3,20,15.950000000000001,15.85,12.8,20.7,24
2010,3,21,17.1125,16.700000000000003,14.1,21.4,24
2010,3,22,17.120833333333334,16.200000000000003,14.3,21.7,24
2010,3,23,11.9,11.850000000000001,8.4,15.2,24
2010,3,24,11.745833333333332,11.05,9.9,16.4,24
2010,3,25,11.487499999999999,10.5,7.6,18.1,24
2010,3,26,11.754166666666668,10.25,8.0,20.0,24
2010,3,27,12.333333333333334,12.05,6.1,18.7,24
2010,3,28,13.454166666666666,12.65,7.5,21.4,24
2010,3,29,13.383333333333333,12.55,7.7,19.1,24
2010,3,30,15.391666666666666,15.05,10.9,21.9,24
2010,3,31,13.620833333333332,13.4,10.1,16.3,24
2010,4,1,16.483333333333334,16.5,9.4,24.5,24
2010,4,2,17.837500000000002,18.1,10.8,27.6,24
2010,4,3,18.900000000000002,18.35,13.3,25.5,24
2010,4,4,18.974999999999998,18.05,13.3,26.1,24
2010,4,5,16.670833333333334,16.2,12.6,22.6,24
2010,4,6,16.620833333333334,15.75,13.6,20.2,24
2010,4,7,14.283333333333333,15.05,9.3,19.2,24
2010,4,8,14.695833333333333,15.2,7.4,25.4,24
2010,4,9,23.599999999999998,24.05,11.2,25.9,24
2010,4,10,14.924999999999999,13.850000000000001,9.6,21.7,24
2010,4,11,14.779166666666667,15.3,7.1,22.1,24
2010,4,12,12.195833333333333,12.75,9.3,14.9,24
2010,4,13,13.129166666666668,12.45,9.3,16.8,24
2010,4,14,15.424999999999999,14.8,9.9,22.6,24
2010,4,15,14.795833333333334,14.6,9.4,20.4,24
2010,4,16,13.929166666666667,13.6,11.7,18.2,24
2010,4,17,15.595833333333333,16.15,11.9,20.1,24
2010,4,18,15.391666666666666,15.5,13.3,18.2,24
2010,4,19,13.408333333333333,13.0,9.5,20.1,24
2010,4,20,16.150000000000002,15.7,8.9,26.9,24
2010,4,21,18.966666666666665,19.5,10.2,27.8,24
2010,4,22,21.216666666666665,20.049999999999997,12.6,32.9,24
2010,4,23,21.104166666666668,19.35,13.4,29.9,24
2010,4,24,20.1375,19.2,11.4,28.6,24
2010,4,25,15.545833333333334,14.8,11.5,20.8,24
2010,4,26,16.525000000000002,16.450000000000003,13.5,20.5,24
2010,4,27,20.816666666666666,20.15,14.5,29.6,24
2010,4,28,21.029166666666665,19.4,14.3,29.8,24
2010,4,29,18.962500000000002,18.049999999999997,12.0,26.4,24
2010,4,30,17.920833333333334,18.1,14.6,22.5,24
2010,5,1,19.816666666666666,18.5,14.8,27.4,24
2010,5,2,19.575,19.25,13.5,25.5,24
2010,5,3,21.129166666666666,19.4,15.2,31.5,24
2010,5,4,17.908333333333335,17.799999999999997,14.7,21.1,24
2010,5,5,15.991666666666667,16.299999999999997,11.2,20.0,24
2010,5,6,14.241666666666667,13.350000000000001,11.6,20.4,24
2010,5,7,15.254166666666668,14.350000000000001,11.9,20.4,24
2010,5,8,14.208333333333334,14.05,7.3,20.4,24
2010,5,9,15.158333333333333,14.9,11.6,20.5,24
2010,5,10,17.6375,17.1,13.0,26.2,24
2010,5,11,18.841666666666665,19.15,10.6,27.9,24
2010,5,12,16.945833333333333,16.5,13.3,23.0,24
2010,5,13,17.716666666666665,17.299999999999997,14.9,20.9,24
2010,5,14,22.104166666666668,21.3,15.7,29.1,24
2010,5,15,20.945833333333333,20.299999999999997,13.8,28.8,24
2010,5,16,22.28333333333333,21.6,13.1,32.8,24
2010,5,17,20.95,21.0,15.2,26.6,24
2010,5,18,23.84166666666667,21.8,16.8,32.4,24
2010,5,19,22.662499999999998,19.85,15.8,32.2,24
2010,5,20,23.229166666666668,21.9,15.0,33.6,24
2010,5,21,23.316666666666666,21.15,14.5,33.5,24
2010,5,22,21.962500000000002,21.2,16.2,29.1,24
2010,5,23,22.579166666666666,21.35,17.0,28.5,24
2010,5,24,19.783333333333335,18.450000000000003,15.3,26.3,24
2010,5,25,22.704166666666666,24.6,10.8,33.1,24
2010,5,26,26.379166666666666,25.25,20.2,33.4,24
2010,5,27,22.97083333333333,21.4,14.9,33.2,24
2010,5,28,21.52916666666667,20.0,15.3,30.2,24
2010,5,29,20.01666666666667,20.0,17.2,23.8,24
2010,5,30,23.6875,23.0,16.6,33.9,24
2010,5,31,22.72083333333333,20.6,16.1,32.4,24
2010,6,1,20.037499999999998,19.8,15.5,25.8,24
2010,6,2,24.004166666666666,22.700000000000003,18.0,33.3,24
2010,6,3,23.329166666666666,23.25,16.4,30.1,24
2010,6,4,23.683333333333334,23.5,19.6,28.4,24
2010,6,5,23.816666666666666,22.1,18.8,31.5,24
